iter	Passed	Remaining
0	0	490
1	1	510
2	1	559
3	2	603
4	2	552
5	3	518
6	3	551
7	4	530
8	4	512
9	5	502
10	5	485
11	5	467
12	6	467
13	6	490
14	7	483
15	7	482
16	8	470
17	8	464
18	8	464
19	9	461
20	9	453
21	9	441
22	10	442
23	10	439
24	11	435
25	11	432
26	11	427
27	12	425
28	12	427
29	13	423
30	13	420
31	13	418
32	14	419
33	14	423
34	15	427
35	15	424
36	16	423
37	16	422
38	17	421
39	17	423
40	17	420
41	18	423
42	19	429
43	20	443
44	20	441
45	21	443
46	21	444
47	22	442
48	22	442
49	23	439
50	23	433
51	23	434
52	24	431
53	24	428
54	24	426
55	25	424
56	25	422
57	25	420
58	26	418
59	26	416
60	26	414
61	27	412
62	27	410
63	28	409
64	28	406
65	28	404
66	28	403
67	29	401
68	29	400
69	30	401
70	31	406
71	31	404
72	31	403
73	32	401
74	32	399
75	32	397
76	33	396
77	33	397
78	34	396
79	34	394
80	34	395
81	35	398
82	36	408
83	37	408
84	38	409
85	38	408
86	38	408
87	39	409
88	39	407
89	40	405
90	40	403
91	40	401
92	40	398
93	41	396
94	41	398
95	42	398
96	42	399
97	43	402
98	44	402
99	44	401
100	45	401
101	45	402
102	46	402
103	46	401
104	47	402
105	47	403
106	48	405
107	49	405
108	49	406
109	50	408
110	50	407
111	51	407
112	51	405
113	52	407
114	53	409
115	54	412
116	54	413
117	55	415
118	56	419
119	57	421
120	58	426
121	59	430
122	60	433
123	61	433
124	62	435
125	63	437
126	64	441
127	64	439
128	65	444
129	66	444
130	67	447
131	68	449
132	68	448
133	69	449
134	69	448
135	70	446
136	70	446
137	71	448
138	72	450
139	73	451
140	73	450
141	74	449
142	75	450
143	75	448
144	76	448
145	76	449
146	77	451
147	77	448
148	79	451
149	79	450
150	80	453
151	81	452
152	81	451
153	82	453
154	83	454
155	83	453
156	84	455
157	85	456
158	85	454
159	86	454
160	88	459
161	88	457
162	88	455
163	89	454
164	89	452
165	89	451
166	90	450
167	90	450
168	91	450
169	92	453
170	93	451
171	93	449
172	93	448
173	94	450
174	95	449
175	95	448
176	96	447
177	96	445
178	96	444
179	97	445
180	98	445
181	98	444
182	99	443
183	100	446
184	100	444
185	101	443
186	101	442
187	102	440
188	102	439
189	102	438
190	103	436
191	103	435
192	103	434
193	104	433
194	104	431
195	105	433
196	106	433
197	106	432
198	107	433
199	107	431
200	108	430
201	109	430
202	109	431
203	110	431
204	111	431
205	112	432
206	112	432
207	113	432
208	114	432
209	114	431
210	115	431
211	121	451
212	121	450
213	122	448
214	122	447
215	122	446
216	123	444
217	123	443
218	124	442
219	124	440
220	124	439
221	125	438
222	125	436
223	125	435
224	126	434
225	126	433
226	127	433
227	127	433
228	129	434
229	129	434
230	130	432
231	130	431
232	130	430
233	131	429
234	131	428
235	131	427
236	132	425
237	132	424
238	132	423
239	133	422
240	137	434
241	139	436
242	140	436
243	140	434
244	140	433
245	140	431
246	141	430
247	141	429
248	141	427
249	142	426
250	142	425
251	142	424
252	143	423
253	143	421
254	144	420
255	144	419
256	144	418
257	145	417
258	145	416
259	146	415
260	146	414
261	146	413
262	147	412
263	147	411
264	148	412
265	149	411
266	149	410
267	150	409
268	150	408
269	150	407
270	151	406
271	151	405
272	151	404
273	153	407
274	154	407
275	155	407
276	155	406
277	156	406
278	157	406
279	158	406
280	158	406
281	159	406
282	160	406
283	161	406
284	162	407
285	163	407
286	163	407
287	164	406
288	165	406
289	165	405
290	165	404
291	166	403
292	166	402
293	167	401
294	167	400
295	167	398
296	168	399
297	169	399
298	170	400
299	171	399
300	171	397
301	171	396
302	171	395
303	172	394
304	172	393
305	173	393
306	174	393
307	175	393
308	176	394
309	177	394
310	177	393
311	178	392
312	178	391
313	178	390
314	179	389
315	179	388
316	179	387
317	180	386
318	180	385
319	181	384
320	181	383
321	182	384
322	182	383
323	183	382
324	183	381
325	184	380
326	184	379
327	184	378
328	185	378
329	185	377
330	186	376
331	186	375
332	186	374
333	187	374
334	188	374
335	188	373
336	189	373
